,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,year,month,day,month_year,location
0,7129300520.0,10/13/2014,221900.0,3.0,1.0,1180.0,5650.0,1.0,0.0,0.0,3.0,7.0,1180.0,0.0,1955.0,0.0,98178,47.5112,-122.257,1340.0,5650.0,2014.0,10.0,13.0,13-2014,"(47.5112, -122.257)"
1,6414100192.0,12/9/2014,538000.0,3.0,2.25,2570.0,7242.0,2.0,0.0,0.0,3.0,7.0,2170.0,400.0,1951.0,1991.0,98125,47.721000000000004,-122.319,1690.0,7639.0,2014.0,12.0,9.0,9-2014,"(47.721000000000004, -122.319)"
2,5631500400.0,2/25/2015,180000.0,2.0,1.0,770.0,10000.0,1.0,0.0,0.0,3.0,6.0,770.0,0.0,1933.0,0.0,98028,47.7379,-122.23299999999999,2720.0,8062.0,2015.0,2.0,25.0,25-2015,"(47.7379, -122.23299999999999)"
3,2487200875.0,12/9/2014,604000.0,4.0,3.0,1960.0,5000.0,1.0,0.0,0.0,5.0,7.0,1050.0,910.0,1965.0,0.0,98136,47.5208,-122.39299999999999,1360.0,5000.0,2014.0,12.0,9.0,9-2014,"(47.5208, -122.39299999999999)"
4,1954400510.0,2/18/2015,510000.0,3.0,2.0,1680.0,8080.0,1.0,0.0,0.0,3.0,8.0,1680.0,0.0,1987.0,0.0,98074,47.6168,-122.045,1800.0,7503.0,2015.0,2.0,18.0,18-2015,"(47.6168, -122.045)"
5,7237550310.0,5/12/2014,1230000.0,4.0,4.5,5420.0,101930.0,1.0,0.0,0.0,3.0,11.0,3890.0,1530.0,2001.0,0.0,98053,47.6561,-122.005,4760.0,101930.0,2014.0,5.0,12.0,12-2014,"(47.6561, -122.005)"
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0)"
7,2008000270.0,1/15/2015,291850.0,3.0,1.5,1060.0,9711.0,1.0,0.0,0.0,3.0,7.0,1060.0,0.0,1963.0,0.0,98198,47.4095,-122.315,1650.0,9711.0,2015.0,1.0,15.0,15-2015,"(47.4095, -122.315)"
8,2414600126.0,4/15/2015,229500.0,3.0,1.0,1780.0,7470.0,1.0,0.0,0.0,3.0,7.0,1050.0,730.0,1960.0,0.0,98146,47.5123,-122.337,1780.0,8113.0,2015.0,4.0,15.0,15-2015,"(47.5123, -122.337)"
9,3793500160.0,3/12/2015,323000.0,3.0,2.5,1890.0,6560.0,2.0,0.0,0.0,3.0,7.0,1890.0,0.0,2003.0,0.0,98038,47.3684,-122.031,2390.0,7570.0,2015.0,3.0,12.0,12-2015,"(47.3684, -122.031)"
